REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INST_CAP,PROGRAM_GENERATION,ACTUAL GENERATION
REG1,Apr-16,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,AURAIYA CCPP,663.36,142,115.19
REG1,Apr-16,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,THDC,KOTESHWAR HPS,400,80,63.67
REG4,Apr-16,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,RAGHUNATHPUR TPP,1200,59,0
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,WPCL,WARDHA WARORA TPP,540,180,135.16
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,BALCO,BALCO TPS,600,124,330.09
REG1,Apr-16,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHIBRO (YAMUNA)  HPS,240,57,38.45
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,SCPL,RATIJA TPS,50,16,36.71
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APPDCL,DAMODARAM SANJEEVAIAH TPS,1600,688,777.12
REG1,Apr-16,NORTHERN,RAJASTHAN,CENTRAL,NUCLEAR,NUCLEAR,DAE,DAE (RAJASTHAN),100,0,0
REG3,Apr-16,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,BHAWANI BARRAGE III HPS,30,0,0
REG2,Apr-16,WESTERN,GUJARAT,STATE,THERMAL,COAL,BECL,BHAVNAGAR CFBC TPP,0,0,0
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,GCEL,RAIKHEDA TPP,1370,206,155.95
REG1,Apr-16,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,DADRI (NCTPP),1820,782,773.58
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,NATURAL GAS,ESSAR,ESSAR CCPP,515,0,0
REG1,Apr-16,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,E.P.P.L.,MALANA-II  HPS,100,20,15.16
REG5,Apr-16,NORTH EASTERN,ASSAM,STATE,HYDRO,HYDRO,APGPCL,KARBI LANGPI  HPS.,100,9,13.25
REG1,Apr-16,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JKSPDC,BAGLIHAR  HPS,450,260,269.32
REG1,Apr-16,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,OBRA TPS,1278,237,299.55
REG4,Apr-16,EASTERN,WEST BENGAL,CENTRAL,THERMAL,COAL,DVC,MEJIA TPS,2340,1097,1186.16
REG3,Apr-16,SOUTHERN,TAMIL NADU,PVT,THERMAL,NATURAL GAS,ABAN POWR,KARUPPUR CCPP,119.8,45,39.29
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KALINADI  HPS,855,186,231.4
REG3,Apr-16,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,SIVASAMUNDRUM  HPS,42,11,5.82
REG2,Apr-16,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,DSPM TPS,500,319,353.27
REG3,Apr-16,SOUTHERN,KARNATAKA,PVT,THERMAL,COAL,JSWEL,TORANGALLU TPS(SBU-II),600,376,433.05
REG2,Apr-16,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,VESPL,KATGHORA TPP,35,0,0
REG2,Apr-16,WESTERN,MAHARASHTRA,PVT,THERMAL,COAL,IEPL,BELA TPS,270,0,0
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,SGPL,SGPL TPP,0,0,0
REG5,Apr-16,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,PARE HPS,0,0,0
REG4,Apr-16,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,SAGARDIGHI TPS,1100,157,369.86
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,SIMHADRI,2000,1257,1377.63
REG3,Apr-16,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,SRISAILAM  HPS,770,67,6.75
REG2,Apr-16,WESTERN,GUJARAT,PVT,THERMAL,COAL,GIPCL,SURAT LIG. TPS,500,303,322.62
